method,metric,means
transformation_semantic_entropy,accuracy_at_0.95_answer_fraction,0.6631578947368421
transformation_semantic_entropy,accuracy_at_1.0_answer_fraction,0.64
transformation_semantic_entropy,AUROC,0.7311197916666666
transformation_semantic_entropy,area_under_thresholded_accuracy,0.7327531652342
transformation_semantic_entropy,mean_uncertainty,0.1861495559980754
transformation_semantic_entropy,accuracy_at_0.8_answer_fraction,0.71875
transformation_semantic_entropy,accuracy_at_0.9_answer_fraction,0.6833333333333333
transformation_cluster_assignment_entropy,accuracy_at_0.9_answer_fraction,0.6833333333333333
transformation_cluster_assignment_entropy,accuracy_at_0.95_answer_fraction,0.6631578947368421
transformation_cluster_assignment_entropy,accuracy_at_1.0_answer_fraction,0.64
transformation_cluster_assignment_entropy,AUROC,0.7213541666666666
transformation_cluster_assignment_entropy,area_under_thresholded_accuracy,0.7173012914970722
transformation_cluster_assignment_entropy,mean_uncertainty,0.19639333185946062
transformation_cluster_assignment_entropy,accuracy_at_0.8_answer_fraction,0.71875
transformation_regular_entropy,accuracy_at_0.8_answer_fraction,0.725
transformation_regular_entropy,accuracy_at_0.9_answer_fraction,0.6944444444444444
transformation_regular_entropy,accuracy_at_0.95_answer_fraction,0.6736842105263158
transformation_regular_entropy,accuracy_at_1.0_answer_fraction,0.64
transformation_regular_entropy,AUROC,0.73046875
transformation_regular_entropy,area_under_thresholded_accuracy,0.7200182537258534
transformation_regular_entropy,mean_uncertainty,0.015927997610825403
transformation_p_false,mean_uncertainty,1.09275542864576
transformation_p_false,accuracy_at_0.8_answer_fraction,0.6375
transformation_p_false,accuracy_at_0.9_answer_fraction,0.6333333333333333
transformation_p_false,accuracy_at_0.95_answer_fraction,0.6421052631578947
transformation_p_false,accuracy_at_1.0_answer_fraction,0.64
transformation_p_false,AUROC,0.4855685763888889
transformation_p_false,area_under_thresholded_accuracy,0.5977151309609223
